H C L Q
0.0 0.000000 70.00 0.000000
0.3 1.626578 69.88 18.677115
0.6 1.767660 69.76 57.310205
0.9 1.855793 69.64 110.344855
1.2 1.920977 69.52 175.551217
1.5 1.973111 69.40 251.563583
1.8 2.016755 69.28 337.419206
2.1 2.054408 69.16 432.385084
2.4 2.087593 69.04 535.874950
2.7 2.117308 68.92 647.403478
3.0 2.144248 68.80 766.558551
3.3 2.168913 68.68 892.983287
3.6 2.191678 68.56 1026.363790
3.9 2.212831 68.44 1166.420452
4.2 2.232597 68.32 1312.901576
4.5 2.251158 68.20 1465.578579
4.8 2.268660 68.08 1624.242288
5.1 2.285225 67.96 1788.700042
5.4 2.300953 67.84 1958.773373
5.7 2.315930 67.72 2134.296132
6.0 2.330229 67.60 2315.112944
6.3 2.343912 67.48 2501.077940
6.6 2.357033 67.36 2692.053681
6.9 2.369640 67.24 2887.910258
7.2 2.381773 67.12 3088.524521
7.5 2.393469 67.00 3293.779415
7.8 2.404760 66.88 3503.563413
8.1 2.415676 66.76 3717.770014
8.4 2.426241 66.64 3936.297310
8.7 2.436480 66.52 4159.047605
9.0 2.446412 66.40 4385.927074
9.3 2.456057 66.28 4616.845465
9.6 2.465432 66.16 4851.715828
