X Z Zh Mur HM
0 600 601.749939 602.544676 2.544676
0.175447 599.987535 601.623535 602.426753 2.439218
0.350894 599.957899 601.506403 602.316833 2.358934
0.526341 599.914195 601.386533 602.203817 2.289621
0.701788 599.857799 601.261962 602.085902 2.228104
0.877235 599.789585 601.131925 601.962385 2.1728
1.052682 599.710186 600.995996 601.832871 2.122685
1.228129 599.620092 600.853899 601.697105 2.077013
1.403576 599.519701 600.705459 601.554923 2.035222
1.579023 599.409343 600.55055 601.406206 1.996864
1.75447 599.289301 600.389066 601.250855 1.961554
1.929917 599.159822 600.220933 601.088801 1.928979
2.105364 599.021123 600.046096 600.91999 1.898867
2.280811 598.873399 599.864514 600.744384 1.870985
2.456258 598.716823 599.676156 600.561954 1.845131
2.631705 598.551555 599.481 600.372679 1.821124
2.807152 598.37774 599.279032 600.176547 1.798807
2.982599 598.195512 599.070244 599.97355 1.778038
3.158046 598.004994 598.854633 599.763685 1.758692
3.333493 597.806301 598.632199 599.546955 1.740654
3.50894 597.59954 598.402947 599.323365 1.723825
3.684387 597.384812 598.166885 599.092923 1.708111
3.859834 597.162212 597.924024 598.855641 1.693429
4.035281 596.931827 597.674386 598.611538 1.679711
4.210728 596.693742 597.417977 598.360624 1.666882
4.386175 596.448037 597.154813 598.102916 1.654879
4.561622 596.194787 596.884913 597.838433 1.643646
4.737069 595.934064 596.608296 597.567193 1.633129
4.912516 595.665937 596.324982 597.289219 1.623282
5.087963 595.39047 596.034991 597.00453 1.61406
5.411498 594.986051 595.608946 596.586759 1.600708
5.735033 594.581632 595.185163 596.170802 1.58917
6.058568 594.177214 594.763173 595.756285 1.579071
6.382103 593.772795 594.342711 595.342979 1.570185
6.705638 593.368376 593.923565 594.930704 1.562329
7.029173 592.963957 593.505561 594.519314 1.555357
7.352708 592.559538 593.088557 594.108688 1.54915
7.676243 592.15512 592.672435 593.698729 1.543609
7.999778 591.750701 592.257096 593.289354 1.538653
8.323313 591.346282 591.842456 592.880493 1.534211
8.646848 590.941863 591.428444 592.472088 1.530225
8.970383 590.537444 591.014997 592.06409 1.526646
9.293918 590.133026 590.602063 591.656454 1.523429
9.617453 589.728607 590.189594 591.249144 1.520537
9.940988 589.324188 589.77755 590.842126 1.517938
10.264523 588.919769 589.365895 590.435374 1.515605
10.588058 588.51535 588.954597 590.028861 1.51351
10.911593 588.110932 588.543628 589.622566 1.511634
11.235128 587.706513 588.132963 589.216468 1.509956
11.558663 587.302094 587.72258 588.810552 1.508458
11.882198 586.897675 587.312458 588.404802 1.507127
12.205734 586.493256 586.902579 587.999203 1.505946
12.529269 586.088838 586.492926 587.593743 1.504905
12.852804 585.684419 586.083485 587.188411 1.503992
13.176339 585.28 585.674242 586.783198 1.503198
13.258752 585.293802 585.696274 586.798404 1.504602
13.341166 585.288349 585.690886 586.792964 1.504614
13.42358 585.284263 585.686878 586.788891 1.504629
13.505994 585.281538 585.684248 586.786184 1.504646
13.588408 585.280173 585.682994 586.78484 1.504667
13.670821 585.280167 585.683115 586.784857 1.504691
13.753235 585.281519 585.684611 586.786236 1.504717
13.835649 585.284231 585.687483 586.788978 1.504747
13.918063 585.288305 585.691733 586.793085 1.50478
14.000476 585.293744 585.697366 586.798561 1.504817
14.08289 585.300553 585.704385 586.80541 1.504857
14.165304 585.308738 585.712797 586.813637 1.5049
14.247718 585.318304 585.722609 586.823251 1.504947
14.330132 585.329261 585.733828 586.834258 1.504997
14.412545 585.341617 585.746466 586.846668 1.505051
14.494959 585.355384 585.760531 586.860492 1.505109
14.577373 585.370572 585.776038 586.875742 1.505171
14.659787 585.387195 585.792998 586.892432 1.505236
14.7422 585.405268 585.811429 586.910575 1.505307
14.824614 585.424807 585.831345 586.930188 1.505381
14.907028 585.44583 585.852766 586.95129 1.50546
14.989442 585.468356 585.875711 586.9739 1.505544
15.071855 585.492406 585.900202 586.99804 1.505633
15.154269 585.518004 585.926264 587.023732 1.505728
15.236683 585.545175 585.953921 587.051002 1.505827
15.319097 585.573945 585.983202 587.079878 1.505933
15.401511 585.604345 586.014137 587.110389 1.506044
15.483924 585.636406 586.04676 587.142568 1.506162
15.566338 585.670163 586.081105 587.17645 1.506286
15.648752 585.705654 586.117211 587.212072 1.506418
15.731166 585.742919 586.155121 587.249476 1.506557
15.813579 585.782003 586.194879 587.288706 1.506704
15.895993 585.822952 586.236535 587.329811 1.506859
15.978407 585.86582 586.280143 587.372844 1.507023
16.060821 585.910662 586.32576 587.41786 1.507197
16.143235 585.957541 586.37345 587.464922 1.507382
16.225648 586.006523 586.423281 587.514099 1.507577
16.308062 586.05768 586.47533 587.565464 1.507784
16.390476 586.111095 586.529679 587.619098 1.508003
16.47289 586.166853 586.586419 587.67509 1.508237
16.555303 586.225052 586.64565 587.733538 1.508485
16.637717 586.2858 586.707482 587.79455 1.50875
16.720131 586.349212 586.772037 587.858245 1.509033
16.802545 586.415422 586.839451 587.924757 1.509335
16.884959 586.484576 586.909877 587.994235 1.509659
16.967372 586.556837 586.983484 588.066843 1.510007
17.049786 586.632389 587.060465 588.142771 1.510381
17.1322 586.711443 587.141037 588.22223 1.510786
17.214614 586.794237 587.225449 588.305462 1.511225
