# Sheet 'HSV' UsedRange starts at A1 ; data extent rows=43 cols=6
					
					
					
					
					
					
					
		HAUTEUR - SURFACE - VOLUME			
					
		Cote (NGM)	Surface (ha)	Volume (Mm³)	
	1	572,5	0	0	1
	2	574	0,35	0,005	2
	3	575	0,8	0,012	3
	4	576	1,7	0,017	4
	5	577	1,85	0,034	5
	6	578	2,7	0,058	6
	7	579	3,9	0,11	7
	8	580	5,5	0,19	8
	9	581	6,8	0,23	9
	10	582	8,2	0,28	10
	11	583	9,1	0,45	11
	12	584	10,4	0,5	12
	13	585	11,5	0,6	13
	14	586	13	0,7	14
	15	587	14,5	0,82	15
	16	588	16,1	1,1	16
	17	589	17,9	1,25	17
	18	590	19,8	1.369	18
	19	591	22,2	1,65	19
	20	592	24,5	1,92	20
	21	593	27	2,2	21
	22	594	29,2	2,4	22
	23	595	31,5	2,61	23
	24	596	33,8	3,3	24
	25	597	39	3,4	25
	26	598	42,5	3,9	26
	27	599	47,6	4,23	27
	28	600	50	4,7	28
	29	601	46.3399000000027	7.8279	29
	30	602	49.3715999999986	8.16759999999999	30
	31	603	52.4951000000001	8.51909999999975	31
	32	604	55.7103999999999	8.88240000000019	32
	33	605	59.0175000000017	9.25749999999994	33
